,Organization Name,NY Reg #,EIN,Registrant Type,City,State
1,"""Forever Captain Poodaman"" The Ahmad Butler Foundation",48-07-16,843800926,NFP,PHILADELPHIA,PA
2,"""R"" S.U.C.C.E.S.S. Foundation Inc.",49-06-59,874012670,NFP,ROCHESTER,NY
3,"""Studio 5404"" Inc.",44-39-58,463180470,NFP,MASSAPAQUA,NY
4,"""THEY ARE HAITIAN"" FUND, INC.",20-63-46,300170128,NFP,HUDSON,NY
5,"""Y"" Dive, Inc.",48-45-01,854252095,NFP,SAINT ALBANS,NY
6,"(ASMA) American Syrian Multicultural Association, Inc.",42-84-63,273130182,NFP,BROOKLYN,NY
7,#FeedHamburg,48-37-35,854150318,NFP,HAMBURG,NY
8,#HicksStrong Inc.,48-10-48,842612081,NFP,CLIFTON PARK,NY
9,#WalkAway Foundation,47-15-80,832820906,NFP,CARLSBAD,CA
10,04/11 10:17 PM test,47-13-95,206256427,NFP,ALBANY,NY
11,1/20/21 Action Fund,46-99-13,832210730,NFP,SAN FRANCISCO,CA
12,"10/40 Connections, Inc.",45-70-15,621825230,NFP,HIXSON,TN
13,"1000 Feet Project, Inc",45-00-14,473820859,NFP,NEW YORK,NY
14,1000 Islands Hose Haulers,45-38-38,454570241,NFP,CARTHAGE,NY
15,"1004 Foundation, Inc.",45-00-13,463110658,NFP,LONG ISLAND CITY,NY
